0 qid:69 1:14.701091 2:0.0 8:1.0 9:1.0 10:0.0 23:10.702684 34:9.0 36:28.0 37:0.0 40:0.0 #docid = 66b1b3cd214a635e0b6e843480b54696414fb3d6
0 qid:69 1:20.476738 2:0.0 8:1.0 9:2.0 10:0.0 23:21.780134 34:6.0 36:160.0 37:0.0 40:0.0 #docid = b49c6b749a084fa284f2f354dfd51ed716c2123a
0 qid:69 1:0.0 2:0.0 8:1.0 9:0.0 10:0.0 23:0.0 34:13.0 36:94.0 37:0.0 40:2.0 #docid = ad0d1b3ba06146606cba4784608575e76283f2d7
0 qid:69 1:25.888218 2:0.0 8:1.0 9:11.0 10:0.0 23:119.22859 34:7.0 36:604.0 37:0.0 40:6.0 #docid = e96b114e0dd2aaa5970b33ac2aff2abbd019a5ea
0 qid:69 1:26.6339 2:0.0 8:1.0 9:7.0 10:0.0 23:75.293564 34:4.0 36:204.0 37:0.0 40:0.0 #docid = aacba5b65b7e7854744101233ce01f6085b9d592
1 qid:69 1:12.609324 2:0.0 8:1.0 9:2.0 10:0.0 23:21.405369 34:6.0 36:209.0 37:63.0 40:5.0 #docid = 088f1f39e09476624088779808916769f0415522
0 qid:69 1:13.637357999999999 2:0.0 8:1.0 9:1.0 10:0.0 23:11.07745 34:8.0 36:60.0 37:0.0 40:8.0 #docid = a521ec07268d8b0a414d862805277008419169d7
0 qid:69 1:0.0 2:0.0 8:1.0 9:0.0 10:0.0 23:0.0 34:7.0 36:82.0 37:0.0 40:0.0 #docid = 38a0fa90a395661f51f749cf42ce5f5de2c41d98
0 qid:69 1:0.0 2:0.0 8:1.0 9:0.0 10:0.0 23:0.0 34:3.0 36:74.0 37:0.0 40:0.0 #docid = 5e2568221454181ce2f1bc59d448f6bad347ab55
0 qid:69 1:7.130125 2:0.0 8:1.0 9:1.0 10:0.0 23:10.702684 34:14.0 36:324.0 37:0.0 40:0.0 #docid = d8358ede931dc0a885585a4ea93b182c8afe4a4d
0 qid:69 1:15.384004000000001 2:0.0 8:1.0 9:1.0 10:0.0 23:11.07745 34:3.0 36:26.0 37:0.0 40:0.0 #docid = 6f11b11453ab3ec0b26f3bc760c84ff9eb484954
0 qid:69 1:13.660711 2:0.0 8:1.0 9:2.0 10:0.0 23:21.405369 34:15.0 36:151.0 37:0.0 40:3.0 #docid = 77818acf6f077881ce2a443eac6385108d3d609a
0 qid:69 1:18.542397 2:0.0 8:2.0 9:5.0 10:0.0 23:53.513419999999996 34:16.0 36:85.0 37:0.0 40:5.0 #docid = be5d6dc9714fd0f22e006bff11d403bfc94ad140
0 qid:69 1:15.132810999999998 2:0.0 8:1.0 9:2.0 10:0.0 23:21.405369 34:9.0 36:101.0 37:0.0 40:0.0 #docid = 42d0983857bcb63c2338f3d7c641943a5ea4daab
0 qid:69 1:26.00671 2:0.0 8:1.0 9:6.0 10:0.0 23:64.590866 34:7.0 36:204.0 37:0.0 40:0.0 #docid = a877f723de0b8a7a65046048b2c20f486aa546a0
0 qid:69 1:31.377857000000002 2:0.0 8:1.0 9:2.0 10:0.0 23:21.780134 34:7.0 36:16.0 37:0.0 40:0.0 #docid = 39efa374dae0e212dc87c0144cbb21e7280dca3c
0 qid:69 1:21.814125 2:0.0 8:3.0 9:2.0 10:0.0 23:21.780134 34:7.0 36:133.0 37:0.0 40:0.0 #docid = a0b4090a765679566773df3fb265db2e10aa4d8b
0 qid:69 1:25.062744 2:0.0 8:2.0 9:4.0 10:0.0 23:43.56027 34:10.0 36:228.0 37:0.0 40:0.0 #docid = 755d2fa5a2ca4ac196bd0b2d43400947c76fea36
1 qid:69 1:31.76288 2:0.0 8:2.0 9:4.0 10:0.0 23:43.935036 34:14.0 36:56.0 37:0.0 40:0.0 #docid = e90e496bd64a70bdf4eeccb72e7238421036b302
0 qid:69 1:15.851353 2:0.0 8:0.0 9:5.0 10:0.0 23:53.513419999999996 34:14.0 36:261.0 37:0.0 40:0.0 #docid = f58c658dcebb60f57466bd78c84ee9c21a66f3b7
0 qid:258 1:9.119213 2:0.0 8:1.0 9:2.0 10:0.0 23:13.694001 34:9.0 36:100.0 37:6.0 40:1.0 #docid = 8b6fef185e1099d548083672c8d199f6f07fc7ef
0 qid:258 1:9.261794 2:0.0 8:1.0 9:2.0 10:0.0 23:13.694001 34:9.0 36:92.0 37:0.0 40:1.0 #docid = 58ef059a9f02d22e4fad83505c6fc97368c1dd69
0 qid:258 1:0.0 2:0.0 8:1.0 9:0.0 10:0.0 23:0.0 34:8.0 36:108.0 37:19.0 40:6.0 #docid = 682e14bbeac4d846786d84737ca11bfb1e54eec9
1 qid:258 1:14.539352 2:0.0 8:3.0 9:2.0 10:0.0 23:14.609748999999999 34:9.0 36:108.0 37:66.0 40:8.0 #docid = 7b11e65038bdb72377b57faa626ca42a65dc2ebf
0 qid:258 1:26.978512 2:0.0 8:1.0 9:8.0 10:0.0 23:57.211052 34:11.0 36:121.0 37:0.0 40:0.0 #docid = e8cee7ed87a2743e2f2b285ca338345ac1268c48
0 qid:258 1:13.053711 2:0.0 8:3.0 9:2.0 10:0.0 23:14.609748999999999 34:9.0 36:161.0 37:0.0 40:0.0 #docid = 2f4808a79e35071dcfa815886f2b22a36ace113f
0 qid:258 1:5.0257819999999995 2:0.0 8:1.0 9:1.0 10:0.0 23:6.847000599999999 34:10.0 36:235.0 37:13.0 40:2.0 #docid = e50dae0b4045bceeab3a6952d684c3f6388bf896
0 qid:258 1:12.787560000000001 2:0.0 8:1.0 9:2.0 10:0.0 23:13.090452 34:10.0 36:109.0 37:47.0 40:6.0 #docid = cfcd5923b19dc71b48cc26069cd94a490370144c
