sid,q_num,qid,doc_id,relevance,title_score,abstract_score,venue_score,authors_score,sources_score,fields_of_study_score,in_citations,out_citations,min_hindex,avg_hindex,max_hindex,min_authorpapers,avg_authorpapers,max_authorpapers,min_i10index,avg_i10index,max_i10index,min_numcitations,avg_numcitations,max_numcitations,num_hclass_L,num_hclass_H
0,0,5438,3e19046c665867bbe557685da60738a40738010a,0,17.377283,13.409588,0.0,0.0,0.0,0.0,622.0,8.0,7.0,18.666666666666668,36.0,27.0,319.6666666666667,887.0,6.0,55.0,145.0,846.0,3175.0,7529.0,1.0,2.0
0,0,5438,7ef08f1fa127af817cdfd9d3bd00bdf60e32143b,0,15.432171,20.073624,0.0,0.0,0.0,0.0,2111.0,37.0,12.0,29.666666666666668,53.0,76.0,330.6666666666667,604.0,13.0,90.66666666666669,199.0,2421.0,7419.666666666667,14744.0,0.0,3.0
0,0,5438,ec13c3e7119191802e6f5783d297fe7a5a05293e,0,18.139397,19.477242,0.0,0.0,0.0,0.0,895.0,82.0,6.0,18.0,26.0,11.0,207.0,341.0,6.0,46.66666666666666,76.0,1061.0,2444.0,3537.0,1.0,2.0
0,0,5438,8fc928bb430d3f72ac876ca156042ad1860acacd,0,14.453037,18.752117,0.0,0.0,0.0,0.0,3706.0,38.0,5.0,36.6,103.0,7.0,266.0,1061.0,2.0,119.0,461.0,4235.0,15669.0,53625.0,1.0,4.0
0,0,5438,b2fdee22aa02477292b858fbafcb418932732bce,1,20.88759,20.445522,0.0,0.0,0.0,0.0,1169.0,10.0,4.0,11.666666666666666,18.0,20.0,53.0,74.0,2.0,13.0,23.0,1194.0,1710.6666666666667,2076.0,1.0,2.0
0,0,5438,8466964cf0884351c3e1b8444b5d71e64eb69dd6,0,18.139397,16.771553,0.0,0.0,0.0,0.0,513.0,0.0,5.0,41.0,103.0,7.0,435.0,1061.0,2.0,163.33333333333334,461.0,1594.0,19818.0,53625.0,1.0,2.0
0,0,5438,5dec44c59ddf5b18b242fce52c00cf47c40e6e2e,0,16.676626,16.354916,0.0,0.0,0.0,0.0,514.0,6.0,12.0,12.0,12.0,53.0,53.0,53.0,14.0,14.0,14.0,929.0,929.0,929.0,0.0,1.0
0,0,5438,1f1946887c8be228864ee23374bc0b427abf0884,0,13.87867,18.701624,0.0,0.0,0.0,0.0,1549.0,10.0,4.0,6.5,9.0,22.0,55.5,89.0,2.0,5.5,9.0,1588.0,1695.0,1802.0,2.0,0.0
0,0,5438,1f7190fc294246f83f1f331cc51e3264851d0d36,0,15.432171,19.26606,0.0,0.0,0.0,0.0,4701.0,16.0,4.0,23.272727272727277,84.0,11.0,110.0909090909091,561.0,3.0,48.27272727272727,259.0,4792.0,14188.454545454546,41381.0,3.0,8.0
0,0,5438,33e77edcd42960bc1ed931ada45b9aa8d0e60e16,0,18.139397,17.933155,0.0,0.0,0.0,0.0,1026.0,16.0,8.0,10.0,12.0,40.0,42.5,45.0,6.0,10.0,14.0,1291.0,1334.5,1378.0,1.0,1.0
0,0,5438,325f4787a40c14518529a64332b801e6f53b22d7,0,15.1821995,17.558899,3.2834218,0.0,0.0,0.0,1148.0,11.0,17.0,49.66666666666666,103.0,33.0,394.0,1061.0,17.0,176.33333333333334,461.0,5954.0,22647.33333333333,53625.0,0.0,3.0
0,0,5438,4f6577ead70ef97d620dec986cf054ae4a05035d,0,17.388412,19.29168,5.9936533,0.0,0.0,0.0,539.0,0.0,14.0,20.8,26.0,68.0,144.6,236.0,17.0,44.0,67.0,1027.0,2395.0,3499.0,0.0,5.0
