qid,title_score,abstract_score,entities_score,venue_score,journal_score,authors_score,inCitations,outCitations,doc_id,qlength,id,Advanced,Developing,DocLevel,H,L,DocHLevel
69,12.0355215,14.701091,0.0,0.0,0.0,0.0,0.0,0.0,66b1b3cd214a635e0b6e843480b54696414fb3d6,15,,,,,,,
69,14.180475,31.762882,0.0,0.0,0.0,0.0,9.0,0.0,e90e496bd64a70bdf4eeccb72e7238421036b302,15,,,,,,,
69,23.888794,25.062744,0.0,0.0,0.0,0.0,0.0,0.0,755d2fa5a2ca4ac196bd0b2d43400947c76fea36,15,,,,,,,
69,30.752540000000003,21.814125,0.0,0.0,0.0,0.0,0.0,0.0,a0b4090a765679566773df3fb265db2e10aa4d8b,15,,,,,,,
69,13.006074,31.377855,0.0,0.0,0.0,0.0,0.0,0.0,39efa374dae0e212dc87c0144cbb21e7280dca3c,15,,,,,,,
69,13.006074,26.00671,0.0,0.0,0.0,0.0,3.0,0.0,a877f723de0b8a7a65046048b2c20f486aa546a0,15,,,,,,,
69,11.602611,15.132812,0.0,0.0,0.0,0.0,1.0,0.0,42d0983857bcb63c2338f3d7c641943a5ea4daab,15,42d0983857bcb63c2338f3d7c641943a5ea4daab,,,,0.0,1.0,L
69,13.583337,18.542397,0.0,0.0,0.0,0.0,5.0,1.0,be5d6dc9714fd0f22e006bff11d403bfc94ad140,15,,,,,,,
69,9.833993,13.660711,0.0,0.0,0.0,0.0,1.0,18.0,77818acf6f077881ce2a443eac6385108d3d609a,15,77818acf6f077881ce2a443eac6385108d3d609a,,,,0.0,1.0,L
69,0.0,15.851351999999999,0.0,0.0,0.0,0.0,2.0,44.0,f58c658dcebb60f57466bd78c84ee9c21a66f3b7,15,f58c658dcebb60f57466bd78c84ee9c21a66f3b7,1.0,0.0,Advanced,0.0,1.0,L
69,10.143225,7.130125,0.0,0.0,0.0,0.0,1.0,0.0,d8358ede931dc0a885585a4ea93b182c8afe4a4d,15,,,,,,,
69,15.507078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5e2568221454181ce2f1bc59d448f6bad347ab55,15,,,,,,,
69,13.552517000000002,0.0,0.0,0.0,0.0,0.0,444.0,0.0,38a0fa90a395661f51f749cf42ce5f5de2c41d98,15,,,,,,,
69,13.772333999999999,13.637359,0.0,0.0,0.0,0.0,3.0,0.0,a521ec07268d8b0a414d862805277008419169d7,15,,,,,,,
69,13.552517000000002,12.6093235,0.0,0.0,0.0,0.0,35.0,27.0,088f1f39e09476624088779808916769f0415522,15,,,,,,,
69,15.507078,26.6339,0.0,0.0,0.0,12.165775,1.0,0.0,aacba5b65b7e7854744101233ce01f6085b9d592,15,,,,,,,
69,16.420687,15.384004000000001,0.0,0.0,0.0,0.0,5.0,0.0,6f11b11453ab3ec0b26f3bc760c84ff9eb484954,15,,,,,,,
69,14.350971,25.888218,0.0,0.0,0.0,0.0,0.0,0.0,e96b114e0dd2aaa5970b33ac2aff2abbd019a5ea,15,,,,,,,
69,11.089531,0.0,0.0,0.0,0.0,0.0,9.0,0.0,ad0d1b3ba06146606cba4784608575e76283f2d7,15,,,,,,,
69,13.552517000000002,20.476738,0.0,0.0,0.0,0.0,14.0,0.0,b49c6b749a084fa284f2f354dfd51ed716c2123a,15,,,,,,,
95,13.521583999999999,22.626629,0.0,0.0,0.0,0.0,1.0,0.0,60ceec413e13bfe60eaad6551590229424f0bc02,8,,,,,,,
95,0.0,20.86214,0.0,0.0,0.0,0.0,77.0,18.0,4adf89030bb59f9cd97a55af21b419aad9045287,8,4adf89030bb59f9cd97a55af21b419aad9045287,9.0,0.0,Advanced,4.0,5.0,Mixed
95,18.062182999999997,17.548192999999998,0.0,0.0,0.0,0.0,7.0,17.0,f20ac6a74b3bf9494f63471bc3e0b8ef7ed810d1,8,f20ac6a74b3bf9494f63471bc3e0b8ef7ed810d1,0.0,2.0,Developing,0.0,2.0,L
95,18.76223,16.889029999999998,0.0,0.0,0.0,0.0,63.0,5.0,3bc200252070c868af80df2fd0cad261dd4d103a,8,,,,,,,
95,13.910120000000001,18.769092999999998,0.0,0.0,0.0,0.0,7.0,1.0,ccaea944996c0935897cd6eb248d5f01367cd3c4,8,ccaea944996c0935897cd6eb248d5f01367cd3c4,1.0,0.0,Advanced,1.0,0.0,H
95,21.230797,24.761223,0.0,0.0,0.0,0.0,8.0,7.0,30f6f26304a94e7cdb17a73b9b19e81446a51ab3,8,30f6f26304a94e7cdb17a73b9b19e81446a51ab3,4.0,4.0,Mixed,4.0,4.0,Mixed
95,17.412497000000002,21.273026,0.0,0.0,0.0,0.0,0.0,11.0,03ad72b1a3b1db254893eb928ea8757d910fb35e,8,03ad72b1a3b1db254893eb928ea8757d910fb35e,1.0,0.0,Advanced,1.0,0.0,H
95,17.728127,19.558714000000002,0.0,0.0,0.0,0.0,108.0,0.0,8e0d4b14fd0d56aba6d63ad6ad0708f07dc51ee7,8,,,,,,,
95,14.758263000000001,20.435845999999998,0.0,0.0,0.0,0.0,42.0,12.0,854a719937844cd0890d52cc545ac27216a61fcf,8,854a719937844cd0890d52cc545ac27216a61fcf,0.0,6.0,Developing,0.0,6.0,L
95,17.266685,23.108765,0.0,0.0,0.0,0.0,0.0,0.0,3de5945f8b4e25f4bf131a5be56e3abe9121e1ab,8,,,,,,,
95,20.338798999999998,22.781569,0.0,0.0,0.0,0.0,89.0,11.0,0760193829395b1a7a8563c73950fb79797173b6,8,0760193829395b1a7a8563c73950fb79797173b6,0.0,4.0,Developing,3.0,1.0,Mixed
95,15.222338,19.547386,0.0,0.0,0.0,0.0,9.0,20.0,08789c959ee9987917d3effb1e5e1b41f8ecab4e,8,,,,,,,
95,19.518729999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e1005d42492028f0a7fa47dd70601fee79e11771,8,,,,,,,
95,17.412497000000002,0.0,0.0,0.0,0.0,0.0,0.0,12.0,da858ad07ee7cfe536db2df795d99607b1a5e20f,8,,,,,,,
95,22.204628,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22f78cf606c696de34165b062bbfc0762e3cc47f,8,,,,,,,
95,18.76223,23.87169,0.0,0.0,0.0,0.0,30.0,0.0,a42902bc3f4d92b72f46775420be6569d19e3f73,8,,,,,,,
95,16.807924,22.110792,0.0,0.0,0.0,0.0,3.0,0.0,55d8e5c7a1c0a11382dfc15516d4b978a9e3b5b6,8,,,,,,,
95,0.0,17.10318,0.0,0.0,0.0,0.0,20.0,12.0,0af0746a2fe6f6f5ab0b9bcc52f89bf36e5ca8b1,8,0af0746a2fe6f6f5ab0b9bcc52f89bf36e5ca8b1,0.0,6.0,Developing,2.0,4.0,Mixed
95,0.0,0.0,0.0,0.0,0.0,0.0,18076.0,38.0,d61031326150ba23f90e6587c13d99188209250e,8,d61031326150ba23f90e6587c13d99188209250e,2.0,0.0,Advanced,2.0,0.0,H
95,0.0,0.0,0.0,0.0,0.0,0.0,4634.0,32.0,d96faee1898de7a052115ecfe533a5b2fd1151c0,8,d96faee1898de7a052115ecfe533a5b2fd1151c0,3.0,0.0,Advanced,3.0,0.0,H
95,23.272087,19.00916,0.0,0.0,0.0,0.0,1.0,0.0,61c1efbe76ef16ba1d0133148d6f6fe7e10352d3,8,,,,,,,
95,14.758263000000001,19.497189000000002,0.0,0.0,0.0,0.0,39.0,25.0,5046ad4cc18a936836d4989debe4663661201ee7,8,,,,,,,
95,12.806183,15.691997,0.0,0.0,0.0,0.0,160.0,47.0,d42b22e21c2e59125ed4fb3a2d24a857754eb7c2,8,d42b22e21c2e59125ed4fb3a2d24a857754eb7c2,5.0,0.0,Advanced,4.0,1.0,Mixed
95,20.338798999999998,0.0,0.0,0.0,0.0,0.0,113.0,2.0,2cf0b85979684aa5116a8bfd4f1437277ce73b95,8,2cf0b85979684aa5116a8bfd4f1437277ce73b95,1.0,0.0,Advanced,1.0,1.0,Mixed
95,18.76223,0.0,0.0,0.0,0.0,0.0,12.0,8.0,7241419e4f45dc906a7d3565746c209edba5f5d0,8,7241419e4f45dc906a7d3565746c209edba5f5d0,3.0,0.0,Advanced,1.0,2.0,Mixed
95,14.321645000000002,15.351320000000001,0.0,0.0,0.0,0.0,6.0,9.0,86965c93c3b81b3902663b293f31388a81b54b37,8,86965c93c3b81b3902663b293f31388a81b54b37,0.0,4.0,Developing,2.0,2.0,Mixed
95,22.204628,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7b3b7bdba270b8c19c9e5af1c7c538f81a6e159c,8,,,,,,,
95,16.243927,21.75095,0.0,0.0,0.0,0.0,19.0,18.0,066e50b8bb96cc223327cfdcf3c444cbffa62ceb,8,066e50b8bb96cc223327cfdcf3c444cbffa62ceb,0.0,10.0,Developing,4.0,6.0,Mixed
95,0.0,22.79741,0.0,0.0,0.0,0.0,2.0,6.0,e455244683d7ca1366d8a02df2638d70d2e71d4b,8,,,,,,,
95,18.062182999999997,0.0,0.0,0.0,0.0,0.0,3.0,8.0,38053991fb0eef895330f082556da9cfcf2388d6,8,,,,,,,
95,17.412497000000002,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9cf12ba53d54e87f9356435425ea1cde99e46328,8,9cf12ba53d54e87f9356435425ea1cde99e46328,1.0,1.0,Mixed,0.0,2.0,L
95,9.919624,15.652484,0.0,0.0,0.0,0.0,615.0,5.0,97881c6577c310f50fc86738c0268896b970dfa4,8,97881c6577c310f50fc86738c0268896b970dfa4,0.0,2.0,Developing,2.0,0.0,H
95,21.230797,20.022858,0.0,0.0,0.0,0.0,65.0,7.0,78600073012747814a2293cceb58658df5ca3899,8,,,,,,,
95,18.062182999999997,18.238083,0.0,0.0,0.0,0.0,12.0,5.0,78360444f3b4540339efc9e7e5f2610a7e46c023,8,78360444f3b4540339efc9e7e5f2610a7e46c023,2.0,0.0,Advanced,2.0,0.0,H
95,18.062182999999997,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3d944c059a9c928309e10bf4db937b57ca158220,8,,,,,,,
95,18.76223,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3e056e2518f1c5d2bda4daeb020580a896eaa3e7,8,3e056e2518f1c5d2bda4daeb020580a896eaa3e7,0.0,10.0,Developing,2.0,8.0,Mixed
95,21.230797,20.022858,0.0,0.0,0.0,0.0,1.0,0.0,dd9b5141537ee040cb8e014399eb5ca0e5704e6d,8,,,,,,,
95,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,23.0,2a21fb724f98e8d79edae061db5bf9a572d6c285,8,,,,,,,
95,18.76223,18.238083,0.0,0.0,0.0,0.0,20.0,0.0,2ce666ac06ecbcc1347105e2c92b2f2de38014c4,8,2ce666ac06ecbcc1347105e2c92b2f2de38014c4,3.0,0.0,Advanced,2.0,1.0,Mixed
95,17.412497000000002,18.744991,0.0,0.0,0.0,0.0,4.0,3.0,021e923e2cb6a070f9e899c8e6bf617f785939e9,8,,,,,,,
95,16.807924,12.741188000000001,0.0,0.0,0.0,0.0,14.0,16.0,23cc980b829be2e0c78dff5a3d205d9fd0221fe9,8,,,,,,,
95,14.321645000000002,21.985115,0.0,0.0,0.0,0.0,59.0,13.0,fbc62155522e4f651ad8c918c3185a7f1329ed15,8,,,,,,,
95,20.338798999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7ec963ee2a798db994d2b37d2b164b9ee1b01fbc,8,,,,,,,
95,18.76223,19.948826,0.0,0.0,0.0,0.0,82.0,0.0,75a83114369d32eab6fc312795b5e9b276481aab,8,,,,,,,
95,14.321645000000002,19.262892,0.0,0.0,0.0,0.0,58.0,12.0,9e97913941d6df5b4e187cee5a1e284be39c354f,8,,,,,,,
95,21.230797,23.954138,0.0,0.0,0.0,0.0,5.0,14.0,d10d329c0116b8adb61e9343a7bccef72435a5ce,8,d10d329c0116b8adb61e9343a7bccef72435a5ce,0.0,1.0,Developing,0.0,1.0,L
95,21.230797,0.0,0.0,0.0,0.0,0.0,41.0,29.0,de82c7bcb3dc8b69072bd209737464c7f6956aa0,8,de82c7bcb3dc8b69072bd209737464c7f6956aa0,2.0,0.0,Advanced,1.0,1.0,Mixed
95,19.279304999999997,20.343582,0.0,0.0,0.0,0.0,21.0,0.0,adeb2be4617495d4ac1d2b66a9d8b0bb6891966d,8,,,,,,,
95,18.76223,0.0,0.0,0.0,0.0,0.0,7.0,0.0,56adbb3f2fe2c4057b9327148716c1bebb9f880b,8,56adbb3f2fe2c4057b9327148716c1bebb9f880b,4.0,0.0,Advanced,3.0,1.0,Mixed
