0,5438
1,23837
2,89123
3,109411
4,59671
5,24365
6,73836
7,18717
8,9536
9,439
10,129480
11,38810
12,33818
13,62246
14,111080
15,67184
16,568
17,71096
18,13832
19,20710
20,75701
21,40748
22,61794
23,49868
24,94840
25,66896
26,99619
27,42519
28,9455
29,56263
30,65309
31,28270
32,32559
33,107238
34,59256
35,95424
36,21984
37,3661
38,16040
39,70381
40,47984
41,54538
42,59905
43,84087
44,90609
45,13464
46,53737
47,82442
48,86436
49,15395
50,36824
51,110569
52,49049
53,74301
54,38142
55,3432
56,104830
57,110084
58,92425
59,111469
60,126993
61,7163
62,27825
63,40449
64,9142
65,16756
66,103210
67,32002
68,96265
69,115862
70,53444
71,48082
72,10623
73,65978
74,57495
75,5762
76,91878
77,23241
78,18181
79,5433
80,45261
81,18238
82,62065
83,258
84,30623
85,17521
86,70254
87,74629
88,69
89,45084
90,6921
91,40623
92,4333
93,8641
94,74052
95,26598
96,69376
97,631
98,52728
99,76298
100,64039
101,26904
102,29727
103,5667
104,37103
105,59557
106,24848
107,18348
108,65494
109,28289
110,35778
111,132049
112,22465
113,76875
114,10898
115,31583
116,46090
117,31824
118,38822
119,98585
120,35783
121,104170
122,78466
123,31941
124,4708
125,82759
126,12608
127,48360
128,21770
129,26306
130,68623
131,658
132,42722
133,5147
134,72966
135,33337
136,32960
137,88458
138,3329
139,40539
140,5840
141,73367
142,125125
143,68183
144,30816
145,33727
146,77011
147,20752
148,61104
149,11856
150,84985
151,46183
152,4550
153,2728
154,13914
155,66819
156,67345
157,55249
158,18704
159,72444
160,20533
161,4184
162,40905
163,69822
164,78688
165,114261
166,29979
167,86087
168,29208
169,68960
170,9154
171,11823
172,54488
173,4509
174,63849
175,130631
176,17187
177,56197
178,82512
179,10280
180,10795
181,43018
182,66637
183,49766
184,12073
185,54003
186,30631
187,51432
188,27887
189,12828
190,70673
191,8940
192,120668
193,12096
194,31412
195,67404
196,25869
197,3462
198,64062
199,20363
