qid,title_score,abstract_score,venue_score,authors_score,sources_score,fields_of_study_score,in_citations,out_citations,doc_id
69,23.888992,25.071608,0.0,0.0,0.0,0.0,0.0,0.0,755d2fa5a2ca4ac196bd0b2d43400947c76fea36
69,14.181395,31.774971,0.0,0.0,0.0,0.0,9.0,0.0,e90e496bd64a70bdf4eeccb72e7238421036b302
69,14.350315,25.896751,0.0,0.0,0.0,0.0,0.0,0.0,e96b114e0dd2aaa5970b33ac2aff2abbd019a5ea
69,15.508074,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5e2568221454181ce2f1bc59d448f6bad347ab55
69,13.553392,12.610963,0.0,0.0,0.0,0.0,35.0,27.0,088f1f39e09476624088779808916769f0415522
69,15.508074,26.6414,0.0,12.161531,0.0,0.0,1.0,0.0,aacba5b65b7e7854744101233ce01f6085b9d592
69,11.603364,15.134733,0.0,0.0,0.0,0.0,1.0,0.0,42d0983857bcb63c2338f3d7c641943a5ea4daab
69,13.553392,0.0,0.0,0.0,0.0,0.0,444.0,0.0,38a0fa90a395661f51f749cf42ce5f5de2c41d98
69,16.41993,15.392675,0.0,0.0,0.0,0.0,5.0,0.0,6f11b11453ab3ec0b26f3bc760c84ff9eb484954
69,30.75257,21.821846,0.0,0.0,0.0,0.0,0.0,0.0,a0b4090a765679566773df3fb265db2e10aa4d8b
69,12.0363035,14.702934,0.0,0.0,0.0,0.0,0.0,0.0,66b1b3cd214a635e0b6e843480b54696414fb3d6
69,13.006916,31.38877,0.0,0.0,0.0,0.0,0.0,0.0,39efa374dae0e212dc87c0144cbb21e7280dca3c
69,13.006916,26.014137,0.0,0.0,0.0,0.0,3.0,0.0,a877f723de0b8a7a65046048b2c20f486aa546a0
69,13.58422,18.544712,0.0,0.0,0.0,0.0,5.0,1.0,be5d6dc9714fd0f22e006bff11d403bfc94ad140
69,9.834637,13.662469,0.0,0.0,0.0,0.0,1.0,18.0,77818acf6f077881ce2a443eac6385108d3d609a
69,0.0,15.853375,0.0,0.0,0.0,0.0,2.0,44.0,f58c658dcebb60f57466bd78c84ee9c21a66f3b7
69,10.1438875,7.131089,0.0,0.0,0.0,0.0,1.0,0.0,d8358ede931dc0a885585a4ea93b182c8afe4a4d
69,13.771708,13.645076,0.0,0.0,0.0,0.0,3.0,0.0,a521ec07268d8b0a414d862805277008419169d7
69,13.553392,20.484001,0.0,0.0,0.0,0.0,14.0,0.0,b49c6b749a084fa284f2f354dfd51ed716c2123a
69,11.089032,0.0,0.0,0.0,0.0,0.0,9.0,0.0,ad0d1b3ba06146606cba4784608575e76283f2d7
258,29.446415,29.362898,0.0,0.0,0.0,0.0,1.0,121.0,29b8a6b2150e9a0f1a608a3be0544a4acb03606d
258,9.194445,13.660536,0.0,0.0,0.0,0.0,15.0,16.0,dae1b2d710f987c362a1b366d4f72a88042b51be
258,8.491316,18.700336,0.0,0.0,0.0,0.0,112.0,29.0,97e5fdac381c0c12351348d701a4231422ca1e99
258,8.20229,26.97849,0.0,0.0,0.0,0.0,133.0,0.0,e8cee7ed87a2743e2f2b285ca338345ac1268c48
258,24.334444,13.418785,0.0,0.0,0.0,0.0,10.0,15.0,b7098018a3610a8bed7a09ab3619034d3cd1856b
258,18.583763,19.948757,0.0,0.0,0.0,0.0,20.0,7.0,d5b8035f2c76e184a703b156d72eed199ed975d4
258,19.30402,22.098558,0.0,0.0,0.0,0.0,45.0,9.0,733c475df97431a14a77ae669639017bb4ac44f1
258,19.064682,21.897587,0.0,0.0,0.0,0.0,33.0,6.0,8154acbd26c7cd702af4ed84b15448c5dd714606
258,19.865671,21.260643,0.0,0.0,0.0,0.0,13.0,6.0,db37d71e2d585fe2f6bf96efc80c515ac199484f
258,10.000923,0.0,0.0,0.0,0.0,0.0,104.0,10.0,da0a0cafdc4ac5157cf735fd3408e87fb9c1f7f6
258,8.20229,16.553566,0.0,0.0,0.0,0.0,25.0,0.0,bb183957ffea1e1b5c383ad61099e336fe286670
258,14.735216,21.019697,0.0,0.0,0.0,0.0,51.0,22.0,301123c11d344d303ad25451ab8c86180247dc26
258,8.508329,9.261459,0.0,0.0,0.0,0.0,94.0,17.0,58ef059a9f02d22e4fad83505c6fc97368c1dd69
258,10.46593,0.0,0.0,0.0,0.0,0.0,89.0,33.0,682e14bbeac4d846786d84737ca11bfb1e54eec9
258,26.150352,13.054171,0.0,0.0,0.0,0.0,1.0,0.0,2f4808a79e35071dcfa815886f2b22a36ace113f
258,9.194445,13.091661,0.0,0.0,0.0,0.0,492.0,44.0,d8182c81f9e69c87ec7a181b3369dda3c2a2a939
258,13.534023,20.77926,0.0,0.0,0.0,0.0,140.0,10.0,97d1171f65e8a73459266435dcacc15d12f6d7ff
258,23.51789,9.584045,0.0,0.0,0.0,0.0,3.0,3.0,4b61225d62ecbfdfeb5781fb9756bccebdeaf999
258,9.580743,10.124811,0.0,0.0,0.0,0.0,328.0,55.0,5fc69f93422b11c944b2d53e9d2f93295eca3d19
258,8.508329,8.231827,0.0,0.0,0.0,0.0,65.0,97.0,0e0a5f6cc0fdb9cebda224e52bc822aa32827b4d
258,17.915314,22.776958,0.0,0.0,0.0,0.0,96.0,17.0,ddb07a0640c012bde68fa9d99d1594aeaf4809be
258,13.987364,8.798674,0.0,0.0,0.0,0.0,42.0,6.0,6834d76fcf95f976172f2a8e42950d031c10a7da
258,10.024671,11.141209,0.0,0.0,0.0,0.0,115.0,137.0,bd82030d8feb1950592430bffb183c96b56b771d
258,8.508329,9.118886,0.0,0.0,0.0,0.0,286.0,80.0,8b6fef185e1099d548083672c8d199f6f07fc7ef
258,26.150352,14.539843,0.0,0.0,0.0,0.0,4.0,34.0,7b11e65038bdb72377b57faa626ca42a65dc2ebf
258,10.000923,8.231827,0.0,0.0,0.0,0.0,146.0,4.0,8b21111dee323c13a57079767b4973ce30bc6c24
258,8.20229,12.788051,0.0,0.0,0.0,0.0,144.0,45.0,cfcd5923b19dc71b48cc26069cd94a490370144c
258,8.20229,5.0256343,0.0,0.0,0.0,0.0,111.0,21.0,e50dae0b4045bceeab3a6952d684c3f6388bf896
258,18.583763,10.890087,0.0,0.0,0.0,0.0,12.0,38.0,f1fa95be35993dc41b911c3c9a9dd6355011b528
258,10.962485,6.310592,0.0,0.0,0.0,0.0,257.0,0.0,6e6c9c6a93e70cdb090e91a71e42a113d926671a
439,11.24448,9.872164,0.0,0.0,0.0,0.0,204.0,53.0,134f4aa6ac6f5f0f0cc3b0cbaed79572aea396c8
439,11.760248,0.0,0.0,0.0,0.0,0.0,195.0,55.0,f3ee44ad5e05f1574af7f8eb4327c22067e5f384
439,7.567239,6.870764,0.0,0.0,0.0,0.0,58.0,0.0,4da5d629fb3804337a67d515d072e59be4c00f11
439,11.760248,10.461905,0.0,0.0,0.0,0.0,208.0,60.0,26a6b913cb001904d7f598559995f1e36ba61a5b
439,11.760248,8.556825,0.0,0.0,0.0,0.0,121.0,40.0,2a97c3173e55ef6ffc7d90e619757e758d76e0f4
439,8.294808,7.0517025,0.0,0.0,0.0,0.0,561.0,0.0,c1190c6aee046415bc6d3aa38d5d6bb48d4fe1a0
439,18.811718,13.142015,0.0,0.0,0.0,0.0,65.0,5.0,b4c607365d6e39fc2999a4c43c964f7b6fd06b28
439,10.772052,11.118435,0.0,0.0,0.0,0.0,267.0,0.0,483fca66d98d3dc8b55e67c357041af6582ae487
439,11.24448,7.157894,0.0,0.0,0.0,0.0,609.0,29.0,130f738618725bf5d2acc45ef2401d721379c4f8
439,11.760248,12.888102,0.0,0.0,0.0,0.0,992.0,37.0,803d65510b17214327280d8196cd9a1edbcc5988
439,9.222196,12.889801,0.0,0.0,0.0,0.0,701.0,0.0,9fd043ff54080c55d67cef0017a0c1c5c5d58cd7
439,9.222196,7.3072243,0.0,0.0,0.0,0.0,416.0,115.0,6ad8eafc7c1b1cb2e0538efe63f9d9333d401b9f
439,10.33772,7.6253886,0.0,0.0,0.0,0.0,3.0,0.0,4c59104b48c8681fce6b1aee4e873252cd5989b4
439,10.33772,9.734972,0.0,0.0,0.0,0.0,371.0,2.0,221cf22dae90d0b710ff41169c30148db2b39373
439,9.222196,8.352767,0.0,0.0,0.0,0.0,2.0,1.0,07a8b2778c73114b89b75631848eba7c55a21392
439,8.323973,0.0,0.0,0.0,0.0,0.0,12.0,29.0,97592634447911e8d7994a92c57f20c4c9a4fe3b
439,10.33772,16.968649,0.0,0.0,0.0,0.0,114.0,15.0,b3b443fc69497e78b778d65bff02fd112015acb5
439,10.33772,10.461905,0.0,0.0,0.0,0.0,539.0,10.0,3e392a0d1b3cdb9013ae0c18317cc7f555a16dca
439,12.98348,11.677299,0.0,0.0,0.0,0.0,172.0,0.0,7ce4bbaa543b4801a182724edbf2b7f7947554a5
439,9.56629,12.112565,0.0,0.0,0.0,0.0,738.0,29.0,46c3b4a37632b0cf3c33a95bd0bdb09e81f0fce4
439,8.737541,7.260221,0.0,0.0,0.0,0.0,446.0,0.0,6ce6efebe19f39df7f016751b85cfad107a1e306
